0.	1.457447	0.000687
0.8207286049349273	1.457447	0.000687
0.8289375371605249	1.457472	0.000694
0.8372275282640824	1.457499	0.000701
0.8976100793697084	1.4577	0.000751
0.9065888711755695	1.457731	0.00075
0.9248065299153375	1.457795	0.000774
0.9433979397297255	1.457862	0.00079
0.9623561127737997	1.457931	0.000806
0.9719828425743561	1.457967	0.000814
0.9816952827730071	1.458004	0.000822
0.9915165535055357	1.458041	0.000831
1.0014311584409583	1.458079	0.000839
1.0215558255314392	1.458157	0.000856
1.042085339461406	1.458239	0.000874
1.0630283661836677	1.458324	0.000891
1.0736606750471926	1.458368	0.0009
1.084393995129223	1.458412	0.000909
1.0952376477045636	1.458458	0.000919
1.1061917830971941	1.458504	0.000928
1.1172464242031819	1.458552	0.000937
1.1397071997600767	1.45865	0.000956
1.151103319435699	1.4587	0.000966
1.1978338415092673	1.458912	0.001006
1.2098142838069095	1.458968	0.001016
1.2219043189291177	1.459025	0.001026
1.2464680987439198	1.459143	0.001047
1.258931045778131	1.459203	0.001058
1.2715192329822846	1.459265	0.001068
1.2842326604729035	1.459328	0.001079
1.3100431569843156	1.459458	0.001101
1.3231429873879823	1.459525	0.001112
1.3363734759960995	1.459593	0.001124
1.3497360323488046	1.459663	0.001135
1.3632321015374569	1.459734	0.001147
1.3768631660242303	1.459807	0.001158
1.390629187792529	1.459881	0.00117
1.4045348180227033	1.459957	0.001182
1.418578510978792	1.460034	0.001194
1.432763476432654	1.460113	0.001206
1.4615588975269358	1.460276	0.001231
1.4761726941456301	1.46036	0.001243
1.490932858977038	1.460445	0.001256
1.505841191625723	1.460533	0.001269
1.5208976824586202	1.460622	0.001282
1.5361060374572681	1.460713	0.001295
1.5514662905103187	1.460806	0.001308
1.5669783847334053	1.4609	0.001322
1.5826462083525834	1.460997	0.001335
1.5984718134538833	1.461096	0.001349
1.614455220278838	1.461197	0.001362
1.6305984985151731	1.4613	0.001376
