0	18.1923	9.17574	8.02482	6.34802
0.02	18.2417	9.14391	7.97771	6.32031
0.04	18.2717	9.094	7.92227	6.26912
0.06	18.2746	9.07048	7.8711	6.2382
0.08	18.2794	9.08551	7.80767	6.22048
0.1	18.2863	9.10145	7.7449	6.20405
0.12	18.2249	9.04276	7.79575	6.28619
0.14	18.1452	8.96068	7.86538	6.37686
0.16	18.192	8.95608	7.93984	6.44937
0.18	18.4211	9.1027	8.0312	6.51699
0.2	18.6384	9.24764	8.11945	6.58276
0.22	18.5442	9.2206	7.98411	6.5538
0.24	18.4254	9.18218	7.83171	6.52111
0.26	18.3908	9.18038	7.75504	6.45696
0.28	18.464	9.20186	7.76478	6.3177
0.3	18.5425	9.22289	7.77421	6.18138
0.32	18.6807	9.20307	7.83878	6.31347
0.34	18.8276	9.18178	7.90198	6.47237
0.36	18.8244	9.15298	7.87116	6.50067
0.38	18.6161	9.1059	7.7399	6.37764
0.4	18.4203	9.06222	7.61515	6.25898
0.42	18.6036	9.11146	7.68172	6.29953
0.44	18.8194	9.17361	7.74996	6.34998
0.46	18.9031	9.18975	7.74869	6.35995
0.48	18.8522	9.13869	7.73636	6.32698
0.5	18.7977	9.08104	7.7328	6.29284
0.52	18.8747	9.00484	7.73731	6.30123
0.54	18.9619	8.94089	7.72991	6.31234
0.56	19.0188	8.8865	7.69278	6.31435
0.58	19.0325	8.79741	7.60816	6.3032
0.6	19.0531	8.70734	7.5264	6.29786
0.62	19.0074	8.71978	7.59091	6.38801
0.64	18.9472	8.74178	7.66609	6.47817
0.66	19.0243	8.79676	7.72398	6.5406
0.68	19.2354	8.88694	7.75249	6.57914
0.7	19.4172	8.9721	7.77688	6.60684
0.72	19.264	8.90144	7.80021	6.52829
0.74	19.0953	8.81981	7.82447	6.45082
0.76	19.0718	8.77363	7.81051	6.43202
0.78	19.2069	8.77759	7.76373	6.463
0.8	19.3599	8.77989	7.72486	6.49886
0.82	19.4657	8.7758	7.79705	6.4873
0.84	19.563	8.77205	7.87203	6.46984
0.86	19.6391	8.73841	7.79657	6.392
0.88	19.7306	8.66847	7.6	6.29423
0.9	19.8257	8.60894	7.42278	6.2173
0.92	19.8807	8.74209	7.51766	6.27767
0.94	19.9268	8.88052	7.61747	6.33837
0.96	19.9601	8.9678	7.67452	6.30381
0.98	20.0042	9.00711	7.67949	6.20786
1	20.0494	9.03383	7.6725	6.13453
1.02	20.0284	9.04356	7.75762	6.28147
1.04	20.0046	9.05599	7.84556	6.43349
1.06	19.9506	9.01664	7.90039	6.47923
1.08	19.8859	8.92656	7.9063	6.4437
1.1	19.8277	8.86037	7.90971	6.42807
1.12	19.8379	8.89119	7.83097	6.4479
1.14	19.8492	8.92139	7.7515	6.46671
1.16	19.9544	8.99926	7.78154	6.46261
1.18	20.0869	9.11597	7.89357	6.45639
1.2	20.1803	9.20054	7.97532	6.44041
1.22	20.232	9.12751	7.85766	6.39784
1.24	20.2832	9.05445	7.74	6.35511
1.26	20.3619	8.99808	7.70773	6.34165
1.28	20.4319	8.94962	7.70768	6.35176
1.3	20.4931	8.91287	7.71381	6.37099
1.32	20.5512	8.93602	7.72975	6.36932
1.34	20.6092	8.95919	7.74571	6.36769
1.36	20.5848	9.01518	7.75492	6.4029
1.38	20.5176	9.08462	7.78325	6.46547
1.4	20.4891	9.13993	7.79421	6.51642
1.42	20.6893	9.119	7.74392	6.49504
1.44	20.8894	9.09807	7.69363	6.47364
1.46	20.9206	9.04293	7.73666	6.39857
1.48	20.8635	8.99949	7.82187	6.30935
1.5	20.8234	9.00289	7.89869	6.25268
1.52	20.8176	9.07338	7.80696	6.30915
1.54	20.8118	9.14384	7.71521	6.36561
1.56	20.8037	9.16101	7.66092	6.27893
1.58	20.8089	9.16379	7.6505	6.11616
1.6	20.8058	9.15353	7.66374	6.0076
1.62	20.7204	9.14908	7.74642	6.12747
1.64	20.635	9.14461	7.8291	6.24732
1.66	20.7679	9.12048	7.87016	6.28787
1.68	21.004	9.08753	7.9084	6.31281
1.7	21.121	9.08602	7.92943	6.32507
1.72	20.8419	9.14881	7.86047	6.22269
1.74	20.5628	9.21161	7.79149	6.12031
1.76	20.6675	9.31715	7.87308	6.17603
1.78	20.8583	9.42592	8.00481	6.29263
1.8	20.9802	9.4543	8.07866	6.35384
1.82	21.0247	9.3393	8.024	6.27257
1.84	21.0692	9.22431	7.96933	6.19129
1.86	21.1734	9.25869	8.00656	6.19809
1.88	21.2987	9.32444	8.07884	6.22069
1.9	21.3774	9.36047	8.11579	6.20535
1.92	21.2702	9.31593	8.04766	6.12019
1.94	21.1625	9.27139	7.97953	6.03501
1.96	21.2413	9.27655	7.93971	6.00165
1.98	21.3658	9.28738	7.90247	5.97712
2	21.4519	9.30645	7.87822	6.01748
2.02	21.5273	9.31735	7.85924	6.15521
2.04	21.6035	9.32825	7.84028	6.29292
2.06	21.6939	9.37139	7.98876	6.26911
2.08	21.7559	9.44679	8.18383	6.23984
2.1	21.8076	9.48819	8.29356	6.21097
2.12	21.8909	9.47099	8.25917	6.16504
2.14	21.979	9.4538	8.22476	6.1191
2.16	22.0535	9.45565	8.14439	6.09294
2.18	22.1166	9.44575	8.04485	6.06709
2.2	22.0778	9.44434	7.98056	6.02423
2.22	21.9362	9.45996	7.96634	5.96224
2.24	21.8019	9.47532	7.95204	5.90021
2.26	22.052	9.50149	8.02496	5.92154
2.28	22.3274	9.53206	8.11037	5.93134
2.3	22.5413	9.56602	8.1408	5.91395
2.32	22.6687	9.59598	8.09631	5.91026
